#Energy[eV]	Flux[ph/s/eV/100mA] 
4760.00	1.615963E+10 
4770.00	1.656517E+10 
4780.00	1.701584E+10 
4790.00	1.752203E+10 
4800.00	1.808116E+10 
4810.00	1.870630E+10 
4820.00	1.940697E+10 
4830.00	2.019104E+10 
4840.00	2.107287E+10 
4850.00	2.206817E+10 
4860.00	2.320668E+10 
4870.00	2.452802E+10 
4880.00	2.608789E+10 
4890.00	2.795007E+10 
4900.00	3.023139E+10 
4910.00	3.309299E+10 
4920.00	3.680250E+10 
4930.00	4.177276E+10 
4940.00	4.864034E+10 
4950.00	5.837358E+10 
4960.00	7.246637E+10 
4970.00	9.321750E+10 
4980.00	1.241548E+11 
4990.00	1.706609E+11 
5000.00	2.408281E+11 
5010.00	3.464703E+11 
5020.00	5.043466E+11 
5030.00	7.376244E+11 
5040.00	1.077928E+12 
5050.00	1.568173E+12 
5060.00	2.265452E+12 
5070.00	3.241997E+12 
5080.00	4.582707E+12 
5090.00	6.380045E+12 
5100.00	8.725403E+12 
5110.00	1.169015E+13 
5120.00	1.529016E+13 
5130.00	1.943209E+13 
5140.00	2.383140E+13 
5150.00	2.788680E+13 
5160.00	3.059001E+13 
5170.00	3.079908E+13 
5180.00	2.788593E+13 
5190.00	2.188728E+13 
5200.00	1.357863E+13 
5210.00	5.758998E+12 
5220.00	1.637219E+12 
5230.00	5.137890E+11 
5240.00	2.802672E+11 
5250.00	1.979163E+11 
5260.00	1.510597E+11 
5270.00	1.203715E+11 
5280.00	9.882965E+10 
5290.00	8.298831E+10 
5300.00	7.093467E+10 
5310.00	6.151825E+10 
5320.00	5.400511E+10 
5330.00	4.790156E+10 
5340.00	4.287251E+10 
5350.00	3.867295E+10 
5360.00	3.513083E+10 
5370.00	3.211282E+10 
5380.00	2.951931E+10 
5390.00	2.727730E+10 
5400.00	2.532352E+10 
5410.00	2.361017E+10 
5420.00	2.210075E+10 
5430.00	2.076501E+10 
5440.00	1.957696E+10 
5450.00	1.851750E+10 
5460.00	1.756906E+10 
5470.00	1.671626E+10 
5480.00	1.594818E+10 
5490.00	1.525315E+10 
5500.00	1.462486E+10 
