#     Energy       Flux            PL            PC          PL45
#         eV  ph/s/0.1%             -             -             -
1.63769e+04  5.265e+12  7.491746e-01  0.000000e+00  0.000000e+00
1.64767e+04  5.248e+12  7.498161e-01  0.000000e+00  0.000000e+00
1.65766e+04  5.230e+12  7.504539e-01  0.000000e+00  0.000000e+00
1.66764e+04  5.213e+12  7.510878e-01  0.000000e+00  0.000000e+00
1.67763e+04  5.196e+12  7.517179e-01  0.000000e+00  0.000000e+00
1.68761e+04  5.178e+12  7.523443e-01  0.000000e+00  0.000000e+00
1.69760e+04  5.161e+12  7.529669e-01  0.000000e+00  0.000000e+00
1.70758e+04  5.144e+12  7.535859e-01  0.000000e+00  0.000000e+00
1.71757e+04  5.126e+12  7.542011e-01  0.000000e+00  0.000000e+00
1.72755e+04  5.109e+12  7.548126e-01  0.000000e+00  0.000000e+00
1.73754e+04  5.092e+12  7.554205e-01  0.000000e+00  0.000000e+00
1.74752e+04  5.074e+12  7.560248e-01  0.000000e+00  0.000000e+00
1.75751e+04  5.057e+12  7.566254e-01  0.000000e+00  0.000000e+00
1.76749e+04  5.040e+12  7.572224e-01  0.000000e+00  0.000000e+00
1.77748e+04  5.023e+12  7.578159e-01  0.000000e+00  0.000000e+00
1.78746e+04  5.005e+12  7.584057e-01  0.000000e+00  0.000000e+00
1.79745e+04  4.988e+12  7.589920e-01  0.000000e+00  0.000000e+00
1.80743e+04  4.971e+12  7.595748e-01  0.000000e+00  0.000000e+00
1.81742e+04  4.954e+12  7.601541e-01  0.000000e+00  0.000000e+00
1.82740e+04  4.937e+12  7.607298e-01  0.000000e+00  0.000000e+00
1.83739e+04  4.920e+12  7.613021e-01  0.000000e+00  0.000000e+00
1.84737e+04  4.903e+12  7.618709e-01  0.000000e+00  0.000000e+00
1.85736e+04  4.886e+12  7.624363e-01  0.000000e+00  0.000000e+00
1.86734e+04  4.869e+12  7.629982e-01  0.000000e+00  0.000000e+00
1.87733e+04  4.852e+12  7.635567e-01  0.000000e+00  0.000000e+00
1.88731e+04  4.835e+12  7.641119e-01  0.000000e+00  0.000000e+00
1.89730e+04  4.818e+12  7.646636e-01  0.000000e+00  0.000000e+00
1.90728e+04  4.801e+12  7.652120e-01  0.000000e+00  0.000000e+00
1.91727e+04  4.784e+12  7.657570e-01  0.000000e+00  0.000000e+00
1.92725e+04  4.767e+12  7.662986e-01  0.000000e+00  0.000000e+00
1.93724e+04  4.750e+12  7.668370e-01  0.000000e+00  0.000000e+00
1.94722e+04  4.734e+12  7.673721e-01  0.000000e+00  0.000000e+00
1.95721e+04  4.717e+12  7.679038e-01  0.000000e+00  0.000000e+00
1.96719e+04  4.700e+12  7.684323e-01  0.000000e+00  0.000000e+00
1.97718e+04  4.684e+12  7.689576e-01  0.000000e+00  0.000000e+00
1.98716e+04  4.667e+12  7.694796e-01  0.000000e+00  0.000000e+00
1.99715e+04  4.650e+12  7.699997e-01  0.000000e+00  0.000000e+00
2.00713e+04  4.634e+12  7.705154e-01  0.000000e+00  0.000000e+00
2.01712e+04  4.617e+12  7.710278e-01  0.000000e+00  0.000000e+00
2.02710e+04  4.601e+12  7.715371e-01  0.000000e+00  0.000000e+00
2.03709e+04  4.584e+12  7.720432e-01  0.000000e+00  0.000000e+00
2.04707e+04  4.568e+12  7.725462e-01  0.000000e+00  0.000000e+00
2.05706e+04  4.551e+12  7.730461e-01  0.000000e+00  0.000000e+00
2.06704e+04  4.535e+12  7.735428e-01  0.000000e+00  0.000000e+00
2.07703e+04  4.518e+12  7.740364e-01  0.000000e+00  0.000000e+00
2.08701e+04  4.502e+12  7.745270e-01  0.000000e+00  0.000000e+00
2.09700e+04  4.486e+12  7.750144e-01  0.000000e+00  0.000000e+00
2.10698e+04  4.470e+12  7.754989e-01  0.000000e+00  0.000000e+00
2.11697e+04  4.453e+12  7.759802e-01  0.000000e+00  0.000000e+00
2.12695e+04  4.437e+12  7.764586e-01  0.000000e+00  0.000000e+00
2.13694e+04  4.421e+12  7.769339e-01  0.000000e+00  0.000000e+00
2.14692e+04  4.405e+12  7.774063e-01  0.000000e+00  0.000000e+00
2.15691e+04  4.389e+12  7.778757e-01  0.000000e+00  0.000000e+00
