#Energy[eV]	Flux[ph/s/0.1%bw/100mA] 
418000.00	1.108219E+09 
419000.00	1.082491E+09 
420000.00	1.057390E+09 
421000.00	1.032832E+09 
422000.00	1.008862E+09 
423000.00	9.854543E+08 
424000.00	9.625695E+08 
425000.00	9.402276E+08 
426000.00	9.183931E+08 
427000.00	8.970740E+08 
428000.00	8.762199E+08 
429000.00	8.558990E+08 
430000.00	8.360067E+08 
431000.00	8.165852E+08 
432000.00	7.975939E+08 
433000.00	7.791046E+08 
434000.00	7.609827E+08 
435000.00	7.432886E+08 
436000.00	7.260353E+08 
437000.00	7.091742E+08 
438000.00	6.926629E+08 
439000.00	6.765702E+08 
440000.00	6.608657E+08 
441000.00	6.454746E+08 
442000.00	6.304759E+08 
443000.00	6.158338E+08 
444000.00	6.015001E+08 
445000.00	5.874882E+08 
446000.00	5.738639E+08 
447000.00	5.605137E+08 
448000.00	5.474502E+08 
449000.00	5.347438E+08 
450000.00	5.223043E+08 
451000.00	5.101144E+08 
452000.00	4.982745E+08 
453000.00	4.866943E+08 
454000.00	4.753355E+08 
455000.00	4.642873E+08 
456000.00	4.535108E+08 
457000.00	4.429165E+08 
458000.00	4.326192E+08 
459000.00	4.225681E+08 
460000.00	4.126956E+08 
461000.00	4.031070E+08 
462000.00	3.937435E+08 
463000.00	3.845258E+08 
464000.00	3.756195E+08 
465000.00	3.668623E+08 
466000.00	3.582862E+08 
467000.00	3.499910E+08 
468000.00	3.418134E+08 
469000.00	3.338363E+08 
470000.00	3.261056E+08 
471000.00	3.184768E+08 
472000.00	3.110622E+08 
473000.00	3.038567E+08 
474000.00	2.967120E+08 
475000.00	2.898552E+08 
476000.00	2.830829E+08 
477000.00	2.764620E+08 
478000.00	2.700631E+08 
479000.00	2.637336E+08 
480000.00	2.575928E+08 
481000.00	2.516081E+08 
482000.00	2.457062E+08 
483000.00	2.400118E+08 
484000.00	2.344118E+08 
485000.00	2.289209E+08 
486000.00	2.236453E+08 
487000.00	2.183656E+08 
488000.00	2.133302E+08 
489000.00	2.083409E+08 
490000.00	2.034668E+08 
491000.00	1.987623E+08 
492000.00	1.940666E+08 
493000.00	1.895995E+08 
494000.00	1.851337E+08 
495000.00	1.808266E+08 
496000.00	1.766291E+08 
497000.00	1.724748E+08 
498000.00	1.684960E+08 
499000.00	1.645343E+08 
500000.00	1.607185E+08 
501000.00	1.569709E+08 
502000.00	1.532841E+08 
503000.00	1.497501E+08 
504000.00	1.462105E+08 
505000.00	1.428329E+08 
506000.00	1.394767E+08 
507000.00	1.362352E+08 
508000.00	1.330675E+08 
509000.00	1.299375E+08 
510000.00	1.269517E+08 
511000.00	1.239418E+08 
512000.00	1.210975E+08 
513000.00	1.182231E+08 
514000.00	1.154960E+08 
515000.00	1.127892E+08 
516000.00	1.101464E+08 
517000.00	1.076028E+08 
518000.00	1.050687E+08 
519000.00	1.026636E+08 
520000.00	1.002084E+08 
521000.00	9.792340E+07 
522000.00	9.559473E+07 
523000.00	9.340230E+07 
524000.00	9.118343E+07 
525000.00	8.908311E+07 
526000.00	8.700290E+07 
527000.00	8.497104E+07 
528000.00	8.299920E+07 
529000.00	8.103541E+07 
530000.00	7.917474E+07 
531000.00	7.730103E+07 
532000.00	7.552777E+07 
533000.00	7.374372E+07 
534000.00	7.204049E+07 
535000.00	7.034539E+07 
536000.00	6.871788E+07 
537000.00	6.710138E+07 
538000.00	6.554264E+07 
539000.00	6.401903E+07 
540000.00	6.252288E+07 
541000.00	6.107301E+07 
542000.00	5.962914E+07 
543000.00	5.825778E+07 
544000.00	5.688979E+07 
545000.00	5.557225E+07 
546000.00	5.426980E+07 
547000.00	5.300848E+07 
548000.00	5.177321E+07 
549000.00	5.056094E+07 
550000.00	4.938681E+07 
551000.00	4.823952E+07 
552000.00	4.711542E+07 
553000.00	4.601457E+07 
554000.00	4.494230E+07 
555000.00	4.389513E+07 
556000.00	4.287500E+07 
557000.00	4.187972E+07 
558000.00	4.089977E+07 
559000.00	3.995142E+07 
560000.00	3.901417E+07 
561000.00	3.811180E+07 
562000.00	3.723082E+07 
563000.00	3.635332E+07 
564000.00	3.551435E+07 
565000.00	3.468501E+07 
566000.00	3.388275E+07 
567000.00	3.309449E+07 
568000.00	3.231820E+07 
569000.00	3.157499E+07 
570000.00	3.083635E+07 
571000.00	3.012061E+07 
572000.00	2.942059E+07 
573000.00	2.874206E+07 
574000.00	2.806664E+07 
575000.00	2.741936E+07 
576000.00	2.678133E+07 
577000.00	2.616188E+07 
578000.00	2.555481E+07 
579000.00	2.495782E+07 
580000.00	2.438351E+07 
581000.00	2.381808E+07 
582000.00	2.326466E+07 
583000.00	2.272305E+07 
584000.00	2.219999E+07 
585000.00	2.168373E+07 
586000.00	2.118255E+07 
587000.00	2.069628E+07 
588000.00	2.020961E+07 
589000.00	1.974793E+07 
590000.00	1.929021E+07 
591000.00	1.884412E+07 
592000.00	1.840830E+07 
593000.00	1.798041E+07 
594000.00	1.756800E+07 
595000.00	1.716617E+07 
596000.00	1.676505E+07 
597000.00	1.637636E+07 
598000.00	1.600707E+07 
599000.00	1.563366E+07 
600000.00	1.527180E+07 
