# energy[keV] vert_div_fwhm[mrad] vert_div_rms[mrad] flux[ph/s/0.1%/100mA]
1.790000e+02 1.174445e-01 4.714051e-02 3.817565e+11
1.800000e+02 1.170795e-01 4.700884e-02 3.730529e+11
1.810000e+02 1.167164e-01 4.687826e-02 3.645440e+11
1.820000e+02 1.163600e-01 4.674871e-02 3.562255e+11
1.830000e+02 1.160043e-01 4.662021e-02 3.480932e+11
1.840000e+02 1.156485e-01 4.649270e-02 3.401434e+11
1.850000e+02 1.153013e-01 4.636631e-02 3.323708e+11
1.860000e+02 1.149584e-01 4.624085e-02 3.247730e+11
1.870000e+02 1.146152e-01 4.611641e-02 3.173456e+11
1.880000e+02 1.142741e-01 4.599291e-02 3.100859e+11
1.890000e+02 1.139376e-01 4.587039e-02 3.029888e+11
1.900000e+02 1.136054e-01 4.574882e-02 2.960509e+11
1.910000e+02 1.132743e-01 4.562821e-02 2.892693e+11
1.920000e+02 1.129440e-01 4.550852e-02 2.826404e+11
1.930000e+02 1.126157e-01 4.538972e-02 2.761611e+11
1.940000e+02 1.122911e-01 4.527183e-02 2.698274e+11
1.950000e+02 1.119731e-01 4.515484e-02 2.636369e+11
1.960000e+02 1.116578e-01 4.503878e-02 2.575857e+11
1.970000e+02 1.113439e-01 4.492358e-02 2.516709e+11
1.980000e+02 1.110302e-01 4.480919e-02 2.458900e+11
1.990000e+02 1.107188e-01 4.469566e-02 2.402401e+11
2.000000e+02 1.104110e-01 4.458299e-02 2.347178e+11
2.010000e+02 1.101063e-01 4.447115e-02 2.293199e+11
2.020000e+02 1.098042e-01 4.436010e-02 2.240449e+11
2.030000e+02 1.095036e-01 4.424985e-02 2.188897e+11
2.040000e+02 1.092048e-01 4.414041e-02 2.138509e+11
2.050000e+02 1.089071e-01 4.403179e-02 2.089260e+11
2.060000e+02 1.086145e-01 4.392390e-02 2.041133e+11
2.070000e+02 1.083238e-01 4.381684e-02 1.994095e+11
2.080000e+02 1.080356e-01 4.371052e-02 1.948128e+11
2.090000e+02 1.077485e-01 4.360493e-02 1.903203e+11
2.100000e+02 1.074641e-01 4.350008e-02 1.859300e+11
2.110000e+02 1.071822e-01 4.339598e-02 1.816397e+11
