     Energy       Flux            PL            PC          PL45   Filtered
         eV  ph/s/0.1%             -             -             -          -
1.41000e+04  4.253e+12  8.335334e-01  0.000000e+00  0.000000e+00  3.932e+11
1.42000e+04  4.250e+12  8.334512e-01  0.000000e+00  0.000000e+00  3.733e+11
1.43000e+04  4.247e+12  8.333718e-01  0.000000e+00  0.000000e+00  3.548e+11
1.44000e+04  4.244e+12  8.332953e-01  0.000000e+00  0.000000e+00  3.375e+11
1.45000e+04  4.240e+12  8.332215e-01  0.000000e+00  0.000000e+00  3.214e+11
1.46000e+04  4.237e+12  8.331505e-01  0.000000e+00  0.000000e+00  3.062e+11
1.47000e+04  4.233e+12  8.330822e-01  0.000000e+00  0.000000e+00  2.921e+11
1.48000e+04  4.229e+12  8.330165e-01  0.000000e+00  0.000000e+00  2.788e+11
1.49000e+04  4.225e+12  8.329534e-01  0.000000e+00  0.000000e+00  2.664e+11
1.50000e+04  4.221e+12  8.328929e-01  0.000000e+00  0.000000e+00  2.547e+11
1.51000e+04  4.217e+12  8.328350e-01  0.000000e+00  0.000000e+00  2.437e+11
1.52000e+04  4.212e+12  8.327795e-01  0.000000e+00  0.000000e+00  2.334e+11
1.53000e+04  4.208e+12  8.327265e-01  0.000000e+00  0.000000e+00  2.236e+11
1.54000e+04  4.203e+12  8.326759e-01  0.000000e+00  0.000000e+00  2.144e+11
1.55000e+04  4.198e+12  8.326277e-01  0.000000e+00  0.000000e+00  2.057e+11
1.56000e+04  4.193e+12  8.325818e-01  0.000000e+00  0.000000e+00  1.974e+11
1.57000e+04  4.188e+12  8.325383e-01  0.000000e+00  0.000000e+00  1.896e+11
1.58000e+04  4.183e+12  8.324970e-01  0.000000e+00  0.000000e+00  1.822e+11
1.59000e+04  4.177e+12  8.324580e-01  0.000000e+00  0.000000e+00  1.751e+11
1.60000e+04  4.172e+12  8.324212e-01  0.000000e+00  0.000000e+00  1.684e+11
1.61000e+04  4.166e+12  8.323865e-01  0.000000e+00  0.000000e+00  1.621e+11
1.62000e+04  4.161e+12  8.323541e-01  0.000000e+00  0.000000e+00  1.561e+11
1.63000e+04  4.155e+12  8.323237e-01  0.000000e+00  0.000000e+00  1.503e+11
1.64000e+04  4.149e+12  8.322954e-01  0.000000e+00  0.000000e+00  1.449e+11
1.65000e+04  4.143e+12  8.322692e-01  0.000000e+00  0.000000e+00  1.397e+11
1.66000e+04  4.137e+12  8.322450e-01  0.000000e+00  0.000000e+00  1.348e+11
1.67000e+04  4.130e+12  8.322229e-01  0.000000e+00  0.000000e+00  1.300e+11
1.68000e+04  4.124e+12  8.322027e-01  0.000000e+00  0.000000e+00  1.256e+11
1.69000e+04  4.118e+12  8.321844e-01  0.000000e+00  0.000000e+00  1.213e+11
1.70000e+04  4.111e+12  8.321681e-01  0.000000e+00  0.000000e+00  1.172e+11
1.71000e+04  4.104e+12  8.321536e-01  0.000000e+00  0.000000e+00  1.132e+11
1.72000e+04  4.098e+12  8.321410e-01  0.000000e+00  0.000000e+00  1.095e+11
1.73000e+04  4.091e+12  8.321303e-01  0.000000e+00  0.000000e+00  1.059e+11
1.74000e+04  4.084e+12  8.321213e-01  0.000000e+00  0.000000e+00  1.024e+11
1.75000e+04  4.077e+12  8.321142e-01  0.000000e+00  0.000000e+00  9.913e+10
1.76000e+04  4.070e+12  8.321088e-01  0.000000e+00  0.000000e+00  9.597e+10
