#Beamline acceptance: 152 X 210 urad²
#Energy[eV]	Flux[ph/s/eV/100mA] 
3470.00	2.356979E+13 
3480.00	2.645333E+13 
3490.00	2.807853E+13 
3500.00	2.563144E+13 
3510.00	1.288831E+13 
3520.00	1.120276E+13 
3530.00	1.470861E+13 
3540.00	1.697039E+13 
3550.00	2.005380E+13 
3560.00	2.314169E+13 
3570.00	2.518673E+13 
3580.00	2.722269E+13 
3590.00	2.425667E+13 
3600.00	1.249464E+13 
3610.00	1.152585E+13 
3620.00	1.435306E+13 
3630.00	1.690191E+13 
3640.00	1.954301E+13 
3650.00	2.206172E+13 
3660.00	2.505037E+13 
3670.00	2.641751E+13 
3680.00	2.410659E+13 
3690.00	1.342638E+13 
3700.00	1.178779E+13 
3710.00	1.427226E+13 
3720.00	1.634316E+13 
3730.00	1.888210E+13 
3740.00	2.202952E+13 
3750.00	2.372893E+13 
3760.00	2.579145E+13 
3770.00	2.287823E+13 
3780.00	1.299636E+13 
3790.00	1.188037E+13 
3800.00	1.385077E+13 
3810.00	1.608690E+13 
3820.00	1.884662E+13 
3830.00	2.087026E+13 
3840.00	2.365719E+13 
3850.00	2.497555E+13 
3860.00	2.289757E+13 
3870.00	1.387353E+13 
3880.00	1.188655E+13 
3890.00	1.371258E+13 
3900.00	1.581725E+13 
3910.00	1.792894E+13 
3920.00	2.096416E+13 
3930.00	2.265314E+13 
3940.00	2.452579E+13 
3950.00	2.172930E+13 
3960.00	1.331166E+13 
3970.00	1.182087E+13 
3980.00	1.337573E+13 
3990.00	1.533123E+13 
4000.00	1.806041E+13 
4010.00	1.989137E+13 
4020.00	2.235870E+13 
4030.00	2.381752E+13 
4040.00	2.195070E+13 
4050.00	1.407425E+13 
4060.00	1.171014E+13 
4070.00	1.314891E+13 
4080.00	1.532172E+13 
4090.00	1.721916E+13 
4100.00	1.997944E+13 
4110.00	2.171575E+13 
4120.00	2.332856E+13 
4130.00	2.075879E+13 
4140.00	1.332073E+13 
4150.00	1.152765E+13 
4160.00	1.294161E+13 
4170.00	1.468335E+13 
4180.00	1.725362E+13 
4190.00	1.910266E+13 
4200.00	2.130405E+13 
4210.00	2.287989E+13 
4220.00	2.111137E+13 
4230.00	1.397042E+13 
4240.00	1.143304E+13 
4250.00	1.263389E+13 
4260.00	1.479019E+13 
4270.00	1.665434E+13 
4280.00	1.901156E+13 
4290.00	2.079836E+13 
4300.00	2.228702E+13 
4310.00	1.993356E+13 
4320.00	1.308439E+13 
4330.00	1.115860E+13 
4340.00	1.254814E+13 
4350.00	1.419790E+13 
4360.00	1.653473E+13 
4370.00	1.847936E+13 
4380.00	2.045002E+13 
4390.00	2.203354E+13 
4400.00	2.026227E+13 
4410.00	1.360800E+13 
4420.00	1.112377E+13 
4430.00	1.217582E+13 
4440.00	1.421721E+13 
4450.00	1.609491E+13 
4460.00	1.810632E+13 
4470.00	1.996961E+13 
4480.00	2.143325E+13 
4490.00	1.910561E+13 
4500.00	1.271215E+13 
4510.00	1.081318E+13 
4520.00	1.217435E+13 
4530.00	1.385181E+13 
4540.00	1.593252E+13 
4550.00	1.790446E+13 
4560.00	1.967854E+13 
4570.00	2.123476E+13 
4580.00	1.937108E+13 
4590.00	1.311939E+13 
4600.00	1.081454E+13 
4610.00	1.179893E+13 
4620.00	1.365778E+13 
4630.00	1.555814E+13 
4640.00	1.737197E+13 
4650.00	1.928663E+13 
4660.00	2.066057E+13 
4670.00	1.816854E+13 
4680.00	1.225010E+13 
4690.00	1.049588E+13 
4700.00	1.180385E+13 
4710.00	1.353404E+13 
4720.00	1.537049E+13 
4730.00	1.727253E+13 
4740.00	1.897058E+13 
4750.00	2.045985E+13 
4760.00	1.841910E+13 
4770.00	1.261708E+13 
4780.00	1.053355E+13 
4790.00	1.151679E+13 
4800.00	1.320762E+13 
4810.00	1.509885E+13 
4820.00	1.681521E+13 
4830.00	1.870449E+13 
4840.00	1.986852E+13 
4850.00	1.715040E+13 
4860.00	1.175388E+13 
4870.00	1.021279E+13 
4880.00	1.142745E+13 
4890.00	1.315485E+13 
4900.00	1.481668E+13 
4910.00	1.662571E+13 
4920.00	1.834395E+13 
4930.00	1.967761E+13 
4940.00	1.747598E+13 
4950.00	1.216323E+13 
4960.00	1.028458E+13 
4970.00	1.130903E+13 
4980.00	1.287127E+13 
4990.00	1.469527E+13 
5000.00	1.634908E+13 
5010.00	1.814008E+13 
5020.00	1.901635E+13 
5030.00	1.615109E+13 
5040.00	1.128765E+13 
5050.00	9.959084E+12 
5060.00	1.105775E+13 
5070.00	1.273103E+13 
5080.00	1.429911E+13 
5090.00	1.604927E+13 
5100.00	1.779712E+13 
5110.00	1.883781E+13 
5120.00	1.652692E+13 
5130.00	1.173847E+13 
5140.00	1.006773E+13 
5150.00	1.110909E+13 
5160.00	1.258730E+13 
5170.00	1.429358E+13 
5180.00	1.589500E+13 
5190.00	1.754777E+13 
5200.00	1.812243E+13 
5210.00	1.521639E+13 
5220.00	1.085821E+13 
