#APU18, K = 1.922968
#Energy[eV]	Flux[ph/s/eV/100mA] 
3400.00	1.379035E+11 
3410.00	1.159623E+11 
3420.00	9.928028E+10 
3430.00	8.626768E+10 
3440.00	7.588885E+10 
3450.00	6.746884E+10 
3460.00	6.054549E+10 
3470.00	5.477018E+10 
3480.00	4.989488E+10 
3490.00	4.575292E+10 
3500.00	4.219368E+10 
3510.00	3.911826E+10 
3520.00	3.643942E+10 
3530.00	3.409536E+10 
3540.00	3.202760E+10 
3550.00	3.019942E+10 
3560.00	2.857359E+10 
3570.00	2.711967E+10 
3580.00	2.582137E+10 
3590.00	2.465549E+10 
3600.00	2.360317E+10 
3610.00	2.264724E+10 
3620.00	2.178808E+10 
3630.00	2.100190E+10 
3640.00	2.028560E+10 
3650.00	1.963962E+10 
3660.00	1.904063E+10 
3670.00	1.849094E+10 
3680.00	1.799393E+10 
3690.00	1.754640E+10 
3700.00	1.711153E+10 
3710.00	1.672821E+10 
3720.00	1.637588E+10 
3730.00	1.605491E+10 
3740.00	1.574851E+10 
3750.00	1.547996E+10 
3760.00	1.522917E+10 
3770.00	1.499736E+10 
3780.00	1.478824E+10 
3790.00	1.459285E+10 
3800.00	1.441908E+10 
3810.00	1.425574E+10 
3820.00	1.410944E+10 
3830.00	1.398135E+10 
3840.00	1.386095E+10 
3850.00	1.375475E+10 
3860.00	1.366162E+10 
3870.00	1.358152E+10 
3880.00	1.351088E+10 
3890.00	1.345153E+10 
3900.00	1.340968E+10 
3910.00	1.336195E+10 
3920.00	1.333150E+10 
3930.00	1.331190E+10 
3940.00	1.330690E+10 
3950.00	1.330673E+10 
3960.00	1.331319E+10 
3970.00	1.332602E+10 
3980.00	1.334941E+10 
3990.00	1.338192E+10 
4000.00	1.341947E+10 
4010.00	1.346782E+10 
4020.00	1.352307E+10 
4030.00	1.358577E+10 
4040.00	1.365816E+10 
4050.00	1.374037E+10 
4060.00	1.382897E+10 
4070.00	1.392903E+10 
4080.00	1.403303E+10 
4090.00	1.414583E+10 
4100.00	1.427817E+10 
4110.00	1.440744E+10 
4120.00	1.454790E+10 
4130.00	1.471005E+10 
4140.00	1.485121E+10 
4150.00	1.503500E+10 
4160.00	1.521671E+10 
4170.00	1.540534E+10 
4180.00	1.561380E+10 
4190.00	1.582592E+10 
4200.00	1.605385E+10 
4210.00	1.629534E+10 
4220.00	1.653960E+10 
4230.00	1.681162E+10 
4240.00	1.709083E+10 
4250.00	1.738604E+10 
4260.00	1.769988E+10 
4270.00	1.803282E+10 
4280.00	1.837739E+10 
4290.00	1.873974E+10 
4300.00	1.912417E+10 
4310.00	1.952808E+10 
4320.00	1.995821E+10 
4330.00	2.040578E+10 
4340.00	2.087797E+10 
4350.00	2.137406E+10 
4360.00	2.190317E+10 
4370.00	2.245258E+10 
4380.00	2.304349E+10 
4390.00	2.366380E+10 
4400.00	2.431970E+10 
4410.00	2.501521E+10 
4420.00	2.574722E+10 
4430.00	2.652630E+10 
4440.00	2.735241E+10 
4450.00	2.822787E+10 
4460.00	2.916053E+10 
4470.00	3.015497E+10 
4480.00	3.121284E+10 
4490.00	3.234542E+10 
4500.00	3.355243E+10 
4510.00	3.484894E+10 
4520.00	3.624669E+10 
4530.00	3.777658E+10 
4540.00	3.942779E+10 
4550.00	4.125639E+10 
4560.00	4.326448E+10 
4570.00	4.549962E+10 
4580.00	4.797577E+10 
4590.00	5.069401E+10 
4600.00	5.368611E+10 
4610.00	5.701749E+10 
4620.00	6.074514E+10 
4630.00	6.494025E+10 
4640.00	6.966184E+10 
4650.00	7.497969E+10 
4660.00	8.095526E+10 
4670.00	8.761433E+10 
4680.00	9.497629E+10 
4690.00	1.030340E+11 
4700.00	1.118011E+11 
4710.00	1.213515E+11 
