#Energy[eV] Flux[ph/s/500mA/0.1%bW] 
1.014069041415567511e+02 2.694541477373050781e+13
1.014241831128628775e+02 2.694686464226192188e+13
1.014414650283754469e+02 2.694831457943261328e+13
1.014587498885959178e+02 2.694976458525342969e+13
1.014760376940262461e+02 2.695121465971665234e+13
1.014933284451680606e+02 2.695266480282779297e+13
1.015106221425235304e+02 2.695411501458712500e+13
1.015279187865944266e+02 2.695556529500017188e+13
1.015452183778830602e+02 2.695701564406186719e+13
1.015625209168914154e+02 2.695846606177907031e+13
1.015798264041219738e+02 2.695991654815334766e+13
1.015971348400768619e+02 2.696136710318360547e+13
1.016144462252586465e+02 2.696281772687139453e+13
1.016317605601699512e+02 2.696426841921961328e+13
1.016490778453131583e+02 2.696571918022982031e+13
1.016663980811912040e+02 2.696717000990356641e+13
1.016837212683066554e+02 2.696862090823975781e+13
1.017010474071625765e+02 2.697007187524527344e+13
1.017183764982617333e+02 2.697152291091767578e+13
1.017357085421073464e+02 2.697297401525986328e+13
1.017530435392023520e+02 2.697442518827336719e+13
1.017703814900501698e+02 2.697587642995845312e+13
1.017877223951538923e+02 2.697732774031930469e+13
1.018050662550170955e+02 2.697877911935483594e+13
1.018224130701430568e+02 2.698023056706792969e+13
1.018397628410355225e+02 2.698168208346013281e+13
1.018571155681979263e+02 2.698313366853167969e+13
1.018744712521342137e+02 2.698458532228678516e+13
1.018918298933479889e+02 2.698603704472567188e+13
1.019091914923433535e+02 2.698748883584724609e+13
1.019265560496240681e+02 2.698894069565834766e+13
1.019439235656944334e+02 2.699039262415525781e+13
1.019612940410583946e+02 2.699184462134348047e+13
1.019786674762203802e+02 2.699329668722326562e+13
1.019960438716845346e+02 2.699474882179614844e+13
1.020134232279554709e+02 2.699620102506237109e+13
1.020308055455374614e+02 2.699765329702478906e+13
1.020481908249353182e+02 2.699910563768630469e+13
1.020655790666535125e+02 2.700055804704580859e+13
1.020829702711969844e+02 2.700201052510483984e+13
1.021003644390703897e+02 2.700346307186895703e+13
1.021177615707788533e+02 2.700491568733304688e+13
1.021351616668272015e+02 2.700636837150531250e+13
1.021525647277207156e+02 2.700782112438598047e+13
1.021699707539643924e+02 2.700927394597126953e+13
1.021873797460636979e+02 2.701072683626940234e+13
1.022047917045238137e+02 2.701217979527791016e+13
1.022222066298503620e+02 2.701363282300101172e+13
1.022396245225486808e+02 2.701508591943626953e+13
1.022570453831245914e+02 2.701653908459055859e+13
1.022744692120835879e+02 2.701799231846008203e+13
1.022918960099316905e+02 2.701944562105174609e+13
