#Energy[eV]	Flux[ph/s/0.1%bw/100mA]
4400.00	3.614279E+14 
4410.00	3.782070E+14 
4420.00	3.946430E+14 
4430.00	4.106282E+14 
4440.00	4.260588E+14 
4450.00	4.408237E+14 
4460.00	4.546537E+14 
4470.00	4.669472E+14 
4480.00	4.769112E+14 
4490.00	4.841849E+14 
4500.00	4.891281E+14 
4510.00	4.923361E+14 
4520.00	4.941767E+14 
4530.00	4.947454E+14 
4540.00	4.940319E+14 
4550.00	4.920060E+14 
4560.00	4.886356E+14 
4570.00	4.839087E+14 
4580.00	4.778147E+14 
4590.00	4.703636E+14 
4600.00	4.615730E+14 
4610.00	4.514688E+14 
4620.00	4.400937E+14 
4630.00	4.274864E+14 
4640.00	4.137024E+14 
4650.00	3.987918E+14 
4660.00	3.828090E+14 
4670.00	3.658098E+14 
4680.00	3.478397E+14 
4690.00	3.289507E+14 
4700.00	3.091784E+14 
4710.00	2.885600E+14 
4720.00	2.671246E+14 
4730.00	2.448905E+14 
4740.00	2.218807E+14 
4750.00	1.981024E+14 
4760.00	1.735726E+14 
4770.00	1.483045E+14 
4780.00	1.223237E+14 
4790.00	9.569482E+13 
4800.00	6.861309E+13 
4810.00	4.222053E+13 
4820.00	2.083696E+13 
4830.00	9.421514E+12 
4840.00	5.625202E+12 
4850.00	4.079328E+12 
4860.00	3.417231E+12 
4870.00	2.961364E+12 
4880.00	2.619694E+12 
4890.00	2.350863E+12 
4900.00	2.132269E+12 
4910.00	1.950599E+12 
4920.00	1.796680E+12 
4930.00	1.664535E+12 
4940.00	1.549719E+12 
4950.00	1.448943E+12 
4960.00	1.359896E+12 
4970.00	1.280509E+12 
4980.00	1.209400E+12 
4990.00	1.145297E+12 
5000.00	1.087253E+12 
5010.00	1.034494E+12 
5020.00	9.862733E+11 
5030.00	9.421951E+11 
5040.00	9.016485E+11 
5050.00	8.642958E+11 
5060.00	8.297299E+11 
5070.00	7.977618E+11 
5080.00	7.680556E+11 
5090.00	7.404163E+11 
5100.00	7.146757E+11 
5110.00	6.906017E+11 
5120.00	6.681370E+11 
5130.00	6.470663E+11 
5140.00	6.273034E+11 
5150.00	6.086979E+11 
5160.00	5.912234E+11 
5170.00	5.747992E+11 
5180.00	5.592612E+11 
5190.00	5.446209E+11 
5200.00	5.307831E+11 
5210.00	5.177031E+11 
5220.00	5.053273E+11 
5230.00	4.936057E+11 
5240.00	4.825210E+11 
5250.00	4.719645E+11 
5260.00	4.619603E+11 
5270.00	4.524808E+11 
5280.00	4.434587E+11 
5290.00	4.348923E+11 
5300.00	4.267644E+11 
5310.00	4.190369E+11 
5320.00	4.116614E+11 
5330.00	4.046692E+11 
5340.00	3.980014E+11 
5350.00	3.916548E+11 
5360.00	3.856377E+11 
5370.00	3.798848E+11 
5380.00	3.744081E+11 
5390.00	3.692006E+11 
5400.00	3.642485E+11 
5410.00	3.595813E+11 
5420.00	3.550936E+11 
5430.00	3.508371E+11 
5440.00	3.468258E+11 
5450.00	3.429767E+11 
5460.00	3.393658E+11 
5470.00	3.359551E+11 
5480.00	3.327032E+11 
5490.00	3.296378E+11 
5500.00	3.267760E+11 
5510.00	3.240764E+11 
5520.00	3.215357E+11 
5530.00	3.192021E+11 
5540.00	3.170273E+11 
5550.00	3.150440E+11 
5560.00	3.132196E+11 
5570.00	3.115850E+11 
5580.00	3.101386E+11 
5590.00	3.089131E+11 
5600.00	3.078826E+11 
5610.00	3.070032E+11 
5620.00	3.062959E+11 
5630.00	3.057926E+11 
5640.00	3.054977E+11 
5650.00	3.055035E+11 
5660.00	3.057765E+11 
5670.00	3.063245E+11 
5680.00	3.072475E+11 
5690.00	3.085991E+11 
5700.00	3.105556E+11 
5710.00	3.131786E+11 
5720.00	3.165144E+11 
5730.00	3.207333E+11 
5740.00	3.259084E+11 
5750.00	3.321448E+11 
5760.00	3.394258E+11 
5770.00	3.477639E+11 
5780.00	3.572231E+11 
5790.00	3.677835E+11 
5800.00	3.795232E+11 
5810.00	3.926732E+11 
5820.00	4.075638E+11 
5830.00	4.246008E+11 
5840.00	4.445108E+11 
5850.00	4.680999E+11 
5860.00	4.964045E+11 
5870.00	5.304535E+11 
5880.00	5.711261E+11 
5890.00	6.190068E+11 
5900.00	6.743837E+11 
5910.00	7.371533E+11 
5920.00	8.068598E+11 
5930.00	8.829424E+11 
5940.00	9.649142E+11 
5950.00	1.052948E+12 
5960.00	1.148066E+12 
5970.00	1.252338E+12 
5980.00	1.368969E+12 
5990.00	1.501946E+12 
6000.00	1.655409E+12 
6010.00	1.832904E+12 
6020.00	2.036457E+12 
6030.00	2.265915E+12 
6040.00	2.518921E+12 
6050.00	2.791661E+12 
6060.00	3.080127E+12 
6070.00	3.381958E+12 
6080.00	3.697788E+12 
6090.00	4.032057E+12 
6100.00	4.392258E+12 
6110.00	4.787535E+12 
6120.00	5.225650E+12 
6130.00	5.710427E+12 
6140.00	6.240030E+12 
6150.00	6.807105E+12 
6160.00	7.401312E+12 
6170.00	8.013556E+12 
6180.00	8.639560E+12 
6190.00	9.282308E+12 
6200.00	9.950918E+12 
6210.00	1.065659E+13 
6220.00	1.140732E+13 
6230.00	1.220352E+13 
6240.00	1.303703E+13 
6250.00	1.389454E+13 
6260.00	1.476361E+13 
6270.00	1.563827E+13 
6280.00	1.652117E+13 
6290.00	1.742071E+13 
6300.00	1.834459E+13 
6310.00	1.929420E+13 
6320.00	2.026317E+13 
6330.00	2.124077E+13 
6340.00	2.221847E+13 
6350.00	2.319435E+13 
6360.00	2.417257E+13 
6370.00	2.515861E+13 
6380.00	2.615428E+13 
6390.00	2.715647E+13 
6400.00	2.816088E+13 
6410.00	2.916637E+13 
6420.00	3.017637E+13 
6430.00	3.119630E+13 
6440.00	3.223000E+13 
6450.00	3.327921E+13 
6460.00	3.434685E+13 
6470.00	3.543913E+13 
6480.00	3.656464E+13 
6490.00	3.773232E+13 
6500.00	3.895113E+13 
6510.00	4.023222E+13 
6520.00	4.159029E+13 
6530.00	4.304279E+13 
6540.00	4.460923E+13 
6550.00	4.631274E+13 
6560.00	4.818155E+13 
6570.00	5.024959E+13 
6580.00	5.255732E+13 
6590.00	5.515404E+13 
6600.00	5.810043E+13 
6610.00	6.147251E+13 
6620.00	6.536756E+13 
6630.00	6.991433E+13 
6640.00	7.529099E+13 
6650.00	8.175285E+13 
6660.00	8.966107E+13 
6670.00	9.946695E+13 
6680.00	1.115610E+14 
6690.00	1.259262E+14 
6700.00	1.417421E+14 
6710.00	1.573353E+14 
6720.00	1.707664E+14 
6730.00	1.807550E+14 
6740.00	1.872098E+14 
6750.00	1.909768E+14 
6760.00	1.931607E+14 
6770.00	1.946141E+14 
6780.00	1.958179E+14 
6790.00	1.969919E+14 
6800.00	1.982303E+14 
6810.00	1.995805E+14 
6820.00	2.010755E+14 
6830.00	2.027432E+14 
6840.00	2.046100E+14 
6850.00	2.067016E+14 
6860.00	2.090432E+14 
6870.00	2.116595E+14 
6880.00	2.145749E+14 
6890.00	2.178136E+14 
6900.00	2.213993E+14 
6910.00	2.253553E+14 
6920.00	2.297046E+14 
6930.00	2.344692E+14 
6940.00	2.396715E+14 
6950.00	2.453328E+14 
6960.00	2.514739E+14 
6970.00	2.581156E+14 
6980.00	2.652781E+14 
6990.00	2.729813E+14 
7000.00	2.812450E+14 
7010.00	2.900887E+14 
7020.00	2.995318E+14 
7030.00	3.095936E+14 
7040.00	3.202934E+14 
7050.00	3.316503E+14 
7060.00	3.436834E+14 
7070.00	3.564113E+14 
7080.00	3.698521E+14 
7090.00	3.840233E+14 
7100.00	3.989403E+14 
7110.00	4.146164E+14 
7120.00	4.310609E+14 
7130.00	4.482766E+14 
7140.00	4.662555E+14 
7150.00	4.849717E+14 
7160.00	5.043652E+14 
7170.00	5.243071E+14 
7180.00	5.444939E+14 
7190.00	5.639272E+14 
7200.00	5.781698E+14 
7210.00	5.708323E+14 
7220.00	5.086499E+14 
7230.00	3.735466E+14 
7240.00	2.100511E+14 
7250.00	9.009539E+13 
7260.00	3.450714E+13 
7270.00	1.624305E+13 
7280.00	1.048645E+13 
7290.00	7.914842E+12 
7300.00	6.361957E+12 
7310.00	5.296098E+12 
7320.00	4.516614E+12 
7330.00	3.922302E+12 
7340.00	3.455071E+12 
7350.00	3.078896E+12 
7360.00	2.770202E+12 
7370.00	2.512881E+12 
7380.00	2.295526E+12 
7390.00	2.109815E+12 
7400.00	1.949600E+12 
7410.00	1.810214E+12 
7420.00	1.688029E+12 
7430.00	1.580209E+12 
7440.00	1.484530E+12 
7450.00	1.399136E+12 
7460.00	1.322569E+12 
7470.00	1.253620E+12 
7480.00	1.191258E+12 
7490.00	1.134652E+12 
7500.00	1.083174E+12 
7510.00	1.036135E+12 
7520.00	9.931022E+11 
7530.00	9.535919E+11 
7540.00	9.172585E+11 
7550.00	8.837408E+11 
7560.00	8.528497E+11 
7570.00	8.242668E+11 
7580.00	7.977961E+11 
7590.00	7.733091E+11 
7600.00	7.506202E+11 
7610.00	7.295640E+11 
7620.00	7.100406E+11 
7630.00	6.919406E+11 
7640.00	6.751289E+11 
7650.00	6.595818E+11 
7660.00	6.452239E+11 
7670.00	6.319229E+11 
7680.00	6.196150E+11 
7690.00	6.082852E+11 
7700.00	5.978241E+11 
7710.00	5.881875E+11 
7720.00	5.793127E+11 
7730.00	5.712124E+11 
7740.00	5.638301E+11 
7750.00	5.571198E+11 
7760.00	5.511079E+11 
7770.00	5.458095E+11 
7780.00	5.411866E+11 
7790.00	5.373087E+11 
7800.00	5.341897E+11 
7810.00	5.318762E+11 
7820.00	5.304845E+11 
7830.00	5.299580E+11 
7840.00	5.302964E+11 
7850.00	5.315230E+11 
7860.00	5.335875E+11 
7870.00	5.365079E+11 
7880.00	5.401867E+11 
7890.00	5.446031E+11 
7900.00	5.496835E+11 
7910.00	5.553795E+11 
7920.00	5.616509E+11 
7930.00	5.684481E+11 
7940.00	5.758689E+11 
7950.00	5.839895E+11 
7960.00	5.928982E+11 
7970.00	6.028852E+11 
7980.00	6.140447E+11 
7990.00	6.267243E+11 
8000.00	6.411363E+11 
8010.00	6.575157E+11 
8020.00	6.760086E+11 
8030.00	6.966911E+11 
8040.00	7.195600E+11 
8050.00	7.445502E+11 
8060.00	7.715394E+11 
8070.00	8.003446E+11 
8080.00	8.309577E+11 
8090.00	8.634186E+11 
8100.00	8.980084E+11 
8110.00	9.352715E+11 
8120.00	9.760203E+11 
8130.00	1.021469E+12 
8140.00	1.072833E+12 
8150.00	1.131576E+12 
8160.00	1.198955E+12 
8170.00	1.275995E+12 
8180.00	1.363288E+12 
8190.00	1.460903E+12 
8200.00	1.568509E+12 
8210.00	1.685697E+12 
8220.00	1.812128E+12 
8230.00	1.948228E+12 
8240.00	2.095393E+12 
8250.00	2.256385E+12 
8260.00	2.435116E+12 
8270.00	2.636368E+12 
8280.00	2.865096E+12 
8290.00	3.125363E+12 
8300.00	3.419719E+12 
8310.00	3.748772E+12 
8320.00	4.111162E+12 
8330.00	4.504746E+12 
8340.00	4.927935E+12 
8350.00	5.381245E+12 
8360.00	5.868564E+12 
8370.00	6.397372E+12 
8380.00	6.977543E+12 
8390.00	7.619238E+12 
8400.00	8.330425E+12 
8410.00	9.114551E+12 
8420.00	9.970367E+12 
8430.00	1.089331E+13 
8440.00	1.187867E+13 
8450.00	1.292544E+13 
8460.00	1.403859E+13 
8470.00	1.522893E+13 
8480.00	1.651021E+13 
8490.00	1.789451E+13 
8500.00	1.938806E+13 
8510.00	2.098991E+13 
8520.00	2.269437E+13 
8530.00	2.449609E+13 
8540.00	2.639495E+13 
8550.00	2.839807E+13 
8560.00	3.051743E+13 
8570.00	3.276444E+13 
8580.00	3.514528E+13 
8590.00	3.765924E+13 
8600.00	4.030211E+13 
8610.00	4.307144E+13 
8620.00	4.596986E+13 
8630.00	4.900447E+13 
8640.00	5.218303E+13 
8650.00	5.550980E+13 
8660.00	5.898501E+13 
8670.00	6.260731E+13 
8680.00	6.637682E+13 
8690.00	7.029637E+13 
8700.00	7.436958E+13 
8710.00	7.859891E+13 
8720.00	8.298490E+13 
8730.00	8.752710E+13 
8740.00	9.222555E+13 
8750.00	9.708061E+13 
8760.00	1.020922E+14 
8770.00	1.072593E+14 
8780.00	1.125800E+14 
8790.00	1.180517E+14 
8800.00	1.236710E+14 
8810.00	1.294336E+14 
8820.00	1.353340E+14 
8830.00	1.413650E+14 
8840.00	1.475182E+14 
8850.00	1.537830E+14 
8860.00	1.601472E+14 
8870.00	1.665951E+14 
8880.00	1.731077E+14 
8890.00	1.796594E+14 
8900.00	1.862144E+14 
8910.00	1.927219E+14 
8920.00	1.991130E+14 
8930.00	2.053032E+14 
8940.00	2.112051E+14 
8950.00	2.167486E+14 
8960.00	2.219026E+14 
8970.00	2.266867E+14 
8980.00	2.311648E+14 
