#Energy[eV]	Flux[ph/s/0.1%bw/100mA] 
5250.00	7.931172E+10 
5260.00	7.746281E+10 
5270.00	7.576390E+10 
5280.00	7.416514E+10 
5290.00	7.266150E+10 
5300.00	7.124722E+10 
5310.00	6.991076E+10 
5320.00	6.867170E+10 
5330.00	6.748912E+10 
5340.00	6.638304E+10 
5350.00	6.534334E+10 
5360.00	6.434244E+10 
5370.00	6.342993E+10 
5380.00	6.256043E+10 
5390.00	6.172274E+10 
5400.00	6.095653E+10 
5410.00	6.022843E+10 
5420.00	5.954696E+10 
5430.00	5.890111E+10 
5440.00	5.829968E+10 
5450.00	5.771705E+10 
5460.00	5.721051E+10 
5470.00	5.670905E+10 
5480.00	5.623741E+10 
5490.00	5.581426E+10 
5500.00	5.539937E+10 
5510.00	5.503783E+10 
5520.00	5.468918E+10 
5530.00	5.436137E+10 
5540.00	5.406953E+10 
5550.00	5.379387E+10 
5560.00	5.355545E+10 
5570.00	5.333151E+10 
5580.00	5.312812E+10 
5590.00	5.294485E+10 
5600.00	5.279574E+10 
5610.00	5.265732E+10 
5620.00	5.254850E+10 
5630.00	5.243561E+10 
5640.00	5.236307E+10 
5650.00	5.230863E+10 
5660.00	5.225479E+10 
5670.00	5.224069E+10 
5680.00	5.223939E+10 
5690.00	5.224964E+10 
5700.00	5.227118E+10 
5710.00	5.232818E+10 
5720.00	5.237882E+10 
5730.00	5.246319E+10 
5740.00	5.255426E+10 
5750.00	5.267891E+10 
5760.00	5.280374E+10 
5770.00	5.294549E+10 
5780.00	5.311205E+10 
5790.00	5.327440E+10 
5800.00	5.346958E+10 
5810.00	5.369082E+10 
5820.00	5.391729E+10 
5830.00	5.415456E+10 
5840.00	5.441256E+10 
5850.00	5.470266E+10 
5860.00	5.499159E+10 
5870.00	5.529559E+10 
5880.00	5.562413E+10 
5890.00	5.596846E+10 
5900.00	5.633691E+10 
5910.00	5.672306E+10 
5920.00	5.712176E+10 
5930.00	5.754345E+10 
5940.00	5.798508E+10 
5950.00	5.843757E+10 
5960.00	5.891606E+10 
5970.00	5.940766E+10 
5980.00	5.992571E+10 
5990.00	6.045606E+10 
6000.00	6.103257E+10 
6010.00	6.161082E+10 
6020.00	6.220548E+10 
6030.00	6.283943E+10 
6040.00	6.348143E+10 
6050.00	6.415602E+10 
6060.00	6.487094E+10 
6070.00	6.559245E+10 
6080.00	6.635290E+10 
6090.00	6.713280E+10 
6100.00	6.794042E+10 
6110.00	6.878646E+10 
6120.00	6.965631E+10 
6130.00	7.055735E+10 
6140.00	7.150096E+10 
6150.00	7.244625E+10 
6160.00	7.345187E+10 
6170.00	7.447457E+10 
6180.00	7.555418E+10 
6190.00	7.667396E+10 
6200.00	7.781497E+10 
6210.00	7.902527E+10 
6220.00	8.021958E+10 
6230.00	8.152831E+10 
6240.00	8.288313E+10 
6250.00	8.423977E+10 
6260.00	8.565654E+10 
6270.00	8.714455E+10 
6280.00	8.868334E+10 
6290.00	9.028318E+10 
6300.00	9.193605E+10 
6310.00	9.365662E+10 
6320.00	9.544197E+10 
6330.00	9.729497E+10 
6340.00	9.921562E+10 
6350.00	1.012240E+11 
6360.00	1.033106E+11 
6370.00	1.054778E+11 
6380.00	1.077507E+11 
6390.00	1.100821E+11 
6400.00	1.125296E+11 
6410.00	1.150989E+11 
6420.00	1.177544E+11 
6430.00	1.205271E+11 
6440.00	1.234543E+11 
6450.00	1.265084E+11 
6460.00	1.297246E+11 
6470.00	1.330967E+11 
6480.00	1.366695E+11 
6490.00	1.404404E+11 
6500.00	1.444267E+11 
6510.00	1.486587E+11 
6520.00	1.531484E+11 
6530.00	1.579438E+11 
6540.00	1.630668E+11 
6550.00	1.684799E+11 
6560.00	1.742248E+11 
6570.00	1.802970E+11 
6580.00	1.867734E+11 
6590.00	1.936989E+11 
6600.00	2.011316E+11 
6610.00	2.091036E+11 
6620.00	2.177044E+11 
6630.00	2.269405E+11 
6640.00	2.369342E+11 
6650.00	2.477287E+11 
6660.00	2.593930E+11 
